"Year","Description","TotalAnnualFlights"
1987,"American Airlines Inc.",165121
1987,"Alaska Airlines Inc.",21406
1987,"Continental Air Lines Inc.",123002
1987,"Delta Air Lines Inc.",185813
1987,"Eastern Air Lines Inc.",108776
1987,"America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.)",45399
1987,"Northwest Airlines Inc.",108273
1987,"Pan American World Airways (1)",16785
1987,"Piedmont Aviation Inc.",116482
1987,"Pacific Southwest Airlines",41706
1988,"American Airlines Inc.",694757
1988,"Alaska Airlines Inc.",89822
1988,"Continental Air Lines Inc.",457031
1988,"Delta Air Lines Inc.",753983
1988,"Eastern Air Lines Inc.",389292
1988,"America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.)",180871
1988,"Northwest Airlines Inc.",431440
1988,"Pan American World Airways (1)",72264
1988,"Piedmont Aviation Inc.",470957
1988,"Pacific Southwest Airlines",41911
1989,"American Airlines Inc.",723252
1989,"Alaska Airlines Inc.",89122
1989,"Continental Air Lines Inc.",410322
1989,"Delta Air Lines Inc.",783320
1989,"Eastern Air Lines Inc.",169704
1989,"America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.)",195588
1989,"Northwest Airlines Inc.",451752
1989,"Pan American World Airways (1)",79333
1989,"Piedmont Aviation Inc.",286518
1989,"Trans World Airways LLC",276471
1990,"American Airlines Inc.",712060
1990,"Alaska Airlines Inc.",97934
1990,"Continental Air Lines Inc.",427570
1990,"Delta Air Lines Inc.",824062
1990,"Eastern Air Lines Inc.",252013
1990,"America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.)",216314
1990,"Northwest Airlines Inc.",461745
1990,"Pan American World Airways (1)",83056
1990,"Trans World Airways LLC",264182
1990,"United Air Lines Inc.",606713
1991,"American Airlines Inc.",725191
1991,"Alaska Airlines Inc.",98952
1991,"Continental Air Lines Inc.",424734
1991,"Delta Air Lines Inc.",874791
1991,"America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.)",219896
1991,"Midway Airlines Inc. (1)",70622
1991,"Northwest Airlines Inc.",460230
1991,"Pan American World Airways (1)",64729
1991,"Trans World Airways LLC",231769
1991,"United Air Lines Inc.",630093
1992,"American Airlines Inc.",782371
1992,"Alaska Airlines Inc.",102207
1992,"Continental Air Lines Inc.",421974
1992,"Delta Air Lines Inc.",916593
1992,"America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.)",199066
1992,"Northwest Airlines Inc.",474931
1992,"Trans World Airways LLC",246449
1992,"United Air Lines Inc.",639349
1992,"US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.)",886305
1992,"Southwest Airlines Co.",422912
1993,"American Airlines Inc.",786696
1993,"Alaska Airlines Inc.",98431
1993,"Continental Air Lines Inc.",419560
1993,"Delta Air Lines Inc.",898896
1993,"America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.)",176756
1993,"Northwest Airlines Inc.",474831
1993,"Trans World Airways LLC",244782
1993,"United Air Lines Inc.",649086
1993,"US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.)",833131
1993,"Southwest Airlines Co.",488332
1994,"American Airlines Inc.",722277
1994,"Alaska Airlines Inc.",117475
1994,"Continental Air Lines Inc.",484834
1994,"Delta Air Lines Inc.",874526
1994,"America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.)",177851
1994,"Northwest Airlines Inc.",482798
1994,"Trans World Airways LLC",258205
1994,"United Air Lines Inc.",638750
1994,"US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.)",857906
1994,"Southwest Airlines Co.",565426
1995,"American Airlines Inc.",688471
1995,"Alaska Airlines Inc.",135124
1995,"Continental Air Lines Inc.",434425
1995,"Delta Air Lines Inc.",884019
1995,"America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.)",194508
1995,"Northwest Airlines Inc.",521693
1995,"Trans World Airways LLC",272452
1995,"United Air Lines Inc.",724807
1995,"US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.)",778835
1995,"Southwest Airlines Co.",693101
1996,"American Airlines Inc.",655539
1996,"Alaska Airlines Inc.",144291
1996,"Continental Air Lines Inc.",414410
1996,"Delta Air Lines Inc.",888306
1996,"America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.)",203001
1996,"Northwest Airlines Inc.",543041
1996,"Trans World Airways LLC",282176
1996,"United Air Lines Inc.",735266
1996,"US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.)",728534
1996,"Southwest Airlines Co.",757419
1997,"American Airlines Inc.",663954
1997,"Alaska Airlines Inc.",147750
1997,"Continental Air Lines Inc.",403349
1997,"Delta Air Lines Inc.",921850
1997,"America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.)",206304
1997,"Northwest Airlines Inc.",537152
1997,"Trans World Airways LLC",274037
1997,"United Air Lines Inc.",743847
1997,"US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.)",718751
1997,"Southwest Airlines Co.",794849
1998,"American Airlines Inc.",653919
1998,"Alaska Airlines Inc.",152220
1998,"Continental Air Lines Inc.",399273
1998,"Delta Air Lines Inc.",915095
1998,"America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.)",203071
1998,"Northwest Airlines Inc.",527512
1998,"Trans World Airways LLC",274073
1998,"United Air Lines Inc.",748459
1998,"US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.)",696030
1998,"Southwest Airlines Co.",815069
1999,"American Airlines Inc.",692653
1999,"Alaska Airlines Inc.",156098
1999,"Continental Air Lines Inc.",400014
1999,"Delta Air Lines Inc.",914130
1999,"America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.)",209496
1999,"Northwest Airlines Inc.",537180
1999,"Trans World Airways LLC",275830
1999,"United Air Lines Inc.",774370
